개설영역,학년,학수번호,교과목명,강의계획서,전필,온라인,P/F,원어,Team Teaching,담당교수,학점,시간,강의시간/강의실,신청/제한인원,예비수강신청,비고
중국언어문화학부 (서울),,Q03025103,초급중국어1,있음,N,N,N,N,N,정상현,3,3,목 1 2 3 (C302),19 / 20,18,[구. 초급중국어강독(1)] / 중국어특기자 수강불가
중국언어문화학부 (서울),,Q03025104,초급중국어1,있음,N,N,N,N,N,이지은,3,3,금 7 8 9 (C405),20 / 20,10,[구. 초급중국어강독(1)] / 중국어특기자 수강불가
중국외교통상학부 (서울),,Q03025105,초급중국어1,있음,N,N,N,N,N,임재호,3,3,화 4 5 6 (C305),21 / 20,15,중국외교통상학부 과목/중국어특기생 수강 금지
중국외교통상학부 (서울),,Q03025106,초급중국어1,있음,N,N,N,N,N,고진아,3,3,화 7 8 9 (C306),20 / 20,11,중국외교통상학부 과목/중국어특기생 수강 금지
중국외교통상학부 (서울),,Q03025107,초급중국어1,있음,N,N,N,N,N,백지훈,3,3,수 4 5 6 (C302),21 / 20,15,중국외교통상학부 과목/중국어특기생 수강 금지
중국외교통상학부 (서울),,Q03025108,초급중국어1,있음,N,N,N,N,N,양경미,3,3,목 7 8 9 (C302),21 / 20,11,중국외교통상학부 과목/중국어특기생 수강 금지
일본언어문화학부 (서울),,Q03027101,컨템포러리재패니즈(1),있음,N,N,N,N,N,홍영주(76),3,3,월 7 8 9 (C308),31 / 30,20,일본언어문화학부/일본학대학/자유전공학부 수강 가능 과목
일본언어문화학부 (서울),,Q03027102,컨템포러리재패니즈(1),있음,N,N,N,N,N,최주리,3,3,월 1 2 3 (C310),28 / 30,10,일본언어문화학부/일본학대학/자유전공학부 수강 가능 과목
일본언어문화학부 (서울),,Q03027103,컨템포러리재패니즈(1),있음,N,N,N,N,N,홍영주(76),3,3,금 4 5 6 (C307),29 / 30,12,일본언어문화학부/일본학대학/자유전공학부 수강 가능 과목
융합일본지역학부 (서울),,Q03027104,컨템포러리재패니즈(1),있음,N,N,N,N,N,배경아,3,3,목 4 5 6 (2502),12 / 30,10,융합일본지역학부/일본학대학/자유전공학부 수강 가능 과목
융합일본지역학부 (서울),,Q03027105,컨템포러리재패니즈(1),있음,N,N,N,N,N,이신혜,3,3,목 4 5 6 (C310),30 / 30,20,융합일본지역학부/일본학대학/자유전공학부 수강 가능 과목
융합일본지역학부 (서울),,Q03027106,컨템포러리재패니즈(1),있음,N,N,N,N,N,배경아,3,3,화 4 5 6 (C310),26 / 30,15,융합일본지역학부/일본학대학/자유전공학부 수강 가능 과목
대학기초 (서울),,Q05002101,언어와데이터과학,있음,N,N,N,N,N,박준형,3,3,화 7 8 9 (1602),21 / 60,17,
대학기초 (서울),,Q05003101,언어와마음,있음,N,Y,N,N,N,전종섭,3,3,,285 / 200,124,비대면
대학기초 (서울),,Q05001101,지역학개론,있음,N,N,N,N,N,김찬완,3,3,화 7 8 9 (1502),56 / 60,28,
