개설영역,학년,학수번호,교과목명,강의계획서,전필,온라인,P/F,원어,Team Teaching,담당교수,학점,시간,강의시간/강의실,신청/제한인원,예비수강신청,비고
(서울) - AI융합전공,2,V41010103,고급파이썬프로그래밍,있음,N,N,N,N,N,김학인,3,3,월 4 5 6 (1503),39 / 40,49,
(서울) - AI융합전공,2,V41010104,고급파이썬프로그래밍,있음,N,N,N,N,N,김학인,3,3,월 7 8 9 (1503),38 / 40,23,
(서울) - AI융합전공,2,V41002204,컴퓨터수학,있음,N,N,N,N,N,이민나,3,3,수 4 5 6 (1502),54 / 60,26,
(서울) - AI융합전공,2,V41002205,컴퓨터수학,있음,N,N,N,N,N,이민나,3,3,수 7 8 9 (1502),58 / 60,28,
(서울) - AI융합전공(Language&AI),2,V41003201,언어와논리,있음,N,N,N,N,N,심소영,3,3,화 4 5 6 (1605),26 / 30,14,
(서울) - AI융합전공(Language&AI),2,V41003202,언어와논리,있음,N,N,N,N,N,심소영,3,3,화 7 8 9 (1605),9 / 30,9,
(서울) - AI융합전공(Language&AI),3,J05002201,컴퓨터와언어학,있음,N,N,N,N,N,김지은,3,3,수 1 2 3 (1503),28 / 30,14,
(서울) - Business & AI 전공,2,V41012301,Business AI 개론,있음,Y,N,N,N,N,김길래,3,3,월 7 8 9 (2508),38 / 45,18,교차수업
(서울) - Business & AI 전공,2,V41034301,비지니스인공지능수학,있음,N,N,N,N,N,이근섭,3,3,목 1 2 3 (2508),29 / 45,17,교차수업
(서울) - Business & AI 전공,3,V41023301,Business AI 사례연구,있음,N,N,N,N,N,신진호,3,3,화 4 5 6 (2508),8 / 45,6,교차수업
(서울) - Business & AI 전공,4,V41035201,비즈니스시계열분석,있음,N,N,N,N,N,이용웅,3,3,수 4 5 6 (2508),8 / 45,5,교차수업
(서울) - ELLT학과,1,A01740101,Critical Writing(General 1),있음,Y,N,N,N,N,조수경,2,2,화 7 8 (1306),21 / 21,12,18학번부터 전필. 신입생 우선수강. 배치고사 미응시자 수강불가
(서울) - ELLT학과,1,A01740102,Critical Writing(General 1),있음,Y,N,N,Y,N,Shaun Justin Manning,2,2,수 1 2 (2209),19 / 20,9,18학번부터 전필. 신입생 우선수강. 배치고사 미응시자 수강불가
(서울) - ELLT학과,1,A01740103,Critical Writing(General 1),있음,Y,N,N,Y,N,Steve Lee,2,2,목 7 8 (2401),20 / 20,23,18학번부터 전필.
(서울) - ELLT학과,1,A01741101,Critical Writing(Honors 1),있음,Y,N,N,Y,N,Steve Lee,2,2,목 5 6 (2401),20 / 20,8,18학번부터 전필. 신입생 우선수강. 배치고사 미응시자 수강불가
(서울) - ELLT학과,1,A01741102,Critical Writing(Honors 1),있음,Y,N,N,Y,N,Garrett Dehond,2,2,월 5 6 (1206),14 / 20,8,18학번부터 전필. 신입생 우선수강. 배치고사 미응시자 수강불가
(서울) - ELLT학과,1,A01739101,Intensive Reading (1),있음,N,N,N,Y,N,Garrett Dehond,2,2,화 5 6 (1206),20 / 20,17,1전공 우선수강(자선 수강 희망자는 정정기간에 신청)
(서울) - ELLT학과,1,A01739102,Intensive Reading (1),있음,N,N,N,Y,N,Christina Dahee Jung,2,2,월 3 4 (1205),21 / 21,20,1전공 우선수강(자선 수강 희망자는 정정기간에 신청)
(서울) - ELLT학과,1,A01739103,Intensive Reading (1),있음,N,N,N,Y,N,Christina Dahee Jung,2,2,목 1 2 (1205),23 / 20,15,1전공 우선수강(자선 수강 희망자는 정정기간에 신청)
(서울) - ELLT학과,1,A01742101,Interacting in Spoken English (1),있음,N,N,N,Y,N,Steve Lee,2,2,수 5 6 (1306),25 / 20,22,1전공 우선수강(자선 수강 희망자는 정정기간에 신청)
(서울) - ELLT학과,1,A01742102,Interacting in Spoken English (1),있음,N,N,N,Y,N,Max Watson,2,2,수 7 8 (1605),18 / 20,25,1전공 우선수강(자선 수강 희망자는 정정기간에 신청)
(서울) - ELLT학과,1,A01742103,Interacting in Spoken English (1),있음,N,N,N,Y,N,Shaun Justin Manning,2,2,화 1 2 (2209),26 / 20,27,1전공 우선수강(자선 수강 희망자는 정정기간에 신청)
(서울) - ELLT학과,1,A01121001,영어학개론(1),있음,Y,N,N,N,N,김지인,3,3,화 4 5 6 (1509),43 / 42,42,"16학번부터 전필. 영어대교류(이중, 부전공자 교류 불가)"
(서울) - ELLT학과,1,A01121002,영어학개론(1),있음,Y,N,N,N,N,김미선,3,3,화 7 8 9 (1206),39 / 40,23,"16학번부터 전필. 영어대교류(이중, 부전공자 교류 불가)"
(서울) - ELLT학과,1,A01121003,영어학개론(1),있음,Y,N,N,N,N,윤주형,3,3,목 4 5 6 (1403),40 / 40,37,"16학번부터 전필. 영어대교류(이중, 부전공자 교류 불가)"
(서울) - ELLT학과,1,A01121004,영어학개론(1),있음,Y,N,N,N,N,조윤정,3,3,금 4 5 6 (1304),40 / 41,21,"16학번부터 전필. 영어대교류(이중, 부전공자 교류 불가)"
(서울) - ELLT학과,1,A01121005,영어학개론(1),있음,Y,N,N,Y,N,Shaun Justin Manning,3,3,월 7 8 9 (1405),39 / 40,26,"16학번부터 전필. 영어대교류(이중, 부전공자 교류 불가)"
(서울) - ELLT학과,2,A01744301,Becoming a Great Orator (1),있음,N,N,N,Y,N,Max Watson,2,2,목 7 8 (1409),20 / 20,12,1전공 우선수강(자선 수강 희망자는 정정기간에 신청)
(서울) - ELLT학과,2,A01744302,Becoming a Great Orator (1),있음,N,N,N,Y,N,Christina Dahee Jung,2,2,수 1 2 (1204),23 / 20,23,1전공 우선수강(자선 수강 희망자는 정정기간에 신청)
(서울) - ELLT학과,2,A01748201,Business Communication (1),있음,N,N,N,Y,N,Steve Lee,2,2,월 7 8 (1305),20 / 20,22,1전공 우선수강(자선 수강 희망자는 정정기간에 신청)
(서울) - ELLT학과,2,A01743301,Critical Reading and Writing (1),있음,N,N,N,Y,N,Shaun Justin Manning,2,2,수 3 4 (2209),19 / 20,18,1전공 우선수강(자선 수강 희망자는 정정기간에 신청)
(서울) - ELLT학과,2,A01743302,Critical Reading and Writing (1),있음,N,N,N,Y,N,Garrett Dehond,2,2,월 3 4 (1206),18 / 20,8,1전공 우선수강(자선 수강 희망자는 정정기간에 신청)
