개설영역,학년,학수번호,교과목명,강의계획서,전필,온라인,P/F,원어,Team Teaching,담당교수,학점,시간,강의시간/강의실,신청/제한인원,예비수강신청,비고
루마니아학과 (글로벌),,Q04003101,초급루마니아어문법(1),있음,N,N,N,Y,N,이호창,3,3,화 1 2 목 1 (1511),32 / 40,19,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
체코·슬로바키아학과 (글로벌),,Q04018101,기초체코어,있음,N,N,N,N,N,김인천,3,3,월 7 8 9 (1410),29 / 50,24,무전공생 탐색과정 * 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
헝가리학과 (글로벌),,Q04019101,기초헝가리어,있음,N,N,N,Y,N,유진일,3,3,목 1 2 3 (2303-3),15 / 30,8,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
세르비아·크로아티아학과 (글로벌),,Q04005101,기초크로아티아어1,있음,N,N,N,Y,Y,김상헌,3,3,월 1 2 3 (2305),24 / 50,16,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
그리스·불가리아학과 (글로벌),,Q04008101,그리스어첫걸음,있음,N,N,N,N,N,김혜진(P),3,3,월 1 2 3 (2307),20 / 60,10,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
그리스·불가리아학과 (글로벌),,Q04007101,기초불가리아어,있음,N,N,N,Y,Y,채유정,3,3,화 1 2 3 (2315),8 / 60,4,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
중앙아시아학과 (글로벌),,Q04009101,전공기초우즈베크어1,있음,N,N,N,N,N,ABDUKHALILOVA NARGIZA AKHMADJANOVNA,2,2,월 9 10 (1306),23 /,20,2025학번만 수강신청 * 2.24.(월) 수강신청 가능/교원변경:이지은->ABDUKHALILOVA NARGIZA AKHMADJANOVNA
중앙아시아학과 (글로벌),,Q04010101,전공기초카자흐어1,있음,N,N,N,N,N,손영훈,2,2,월 9 10 (1303),3 /,2,2025학번만 수강신청 * 2.24.(월) 수강신청 가능
아프리카학부 (글로벌),,Q04011101,스와힐리어문법(A1),있음,N,N,N,N,N,박정경,2,2,화 7 8 (1306),26 / 50,17,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
아프리카학부 (글로벌),,Q04012101,스와힐리어회화(A1),있음,N,N,N,Y,N,James Nyachae Michira,2,2,수 1 2 (1403),17 / 50,11,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
아프리카학부 (글로벌),,Q04013101,하우사어입문,있음,N,N,N,N,N,김학수,2,2,금 5 6 (1511),21 / 50,12,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
우크라이나학과 (글로벌),,Q04014101,기초우크라이나어1,있음,N,N,N,N,N,김수현,3,3,월 1 2 3 (2411),23 / 35,13,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
한국학과 (글로벌),,Q04016101,한국현대문화연구입문,있음,N,N,N,N,N,Lee Joo Young,3,3,금 4 5 6 (1510),17 / 50,11,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
이공계열 (글로벌),,Q02001101,확률과통계,있음,N,N,N,N,N,강기훈,3,3,월 5 6 목 2 (0302),39 / 50,22,통계학과만 수강 * 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
이공계열 (글로벌),,Q02001102,확률과통계,있음,N,N,N,N,N,강기훈,3,3,월 3 목 5 6 (0209),63 / 64,71,타학과생 수강(수학과 및 타과생) * 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
이공계열 (글로벌),,Q02001103,확률과통계,있음,N,N,N,N,N,최대우,3,3,수 1 2 금 1 (0604),31 / 60,16,타학과생 수강 * 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
